,unique.cellid,cellosaurus.name,Cellosaurus.Accession.id,PharmacoDB.id,cello_NCItd_1,cello_diseaseType,cello_NCItd_2,cello_diseaseType_2,cello_NCItd_3,cello_diseaseType_3,onco_name,onco_mainType,onco_tissue
1,105KC,105KC,CVCL_M605,105KC_1_2019,C4303,Myxoid chondrosarcoma,NA,NA,NA,NA,Myxoid Chondrosarcoma,Bone Cancer,Bone
2,1321N1,1321N1,CVCL_0110,1321N1_2_2019,C60781,Astrocytoma,NA,NA,NA,NA,Astrocytoma,Glioma,CNS/Brain
3,143B,143B,CVCL_2270,143B_3_2019,C9145,Osteosarcoma,NA,NA,NA,NA,Osteosarcoma,Bone Cancer,Bone
4,184A1,NA,CVCL_3040,184A1_4_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,184A1N4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,184B5,NA,CVCL_4688,184B5_5_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2004,2004,CVCL_U759,2004_6_2019,C8715,Rhabdoid tumor of the kidney,NA,NA,NA,NA,Rhabdoid Cancer (MRT),Wilms Tumor,Kidney
9,201T,201T,CVCL_X481,201T_7_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
10,21MT-1,21MT-1,CVCL_7931,21MT1_8_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
11,21MT-2,21MT-2,CVCL_7932,21MT2_9_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
12,21NT,21NT,CVCL_7933,21NT_10_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
13,21PT,21PT,CVCL_7934,21PT_11_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
14,22Rv1,22Rv1,CVCL_1045,22RV1_12_2019,C4863,Prostate carcinoma,NA,NA,NA,NA,Prostate,"Prostate Cancer, NOS",Prostate
15,23132/87,23132/87,CVCL_1046,2313287_13_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
16,253J,253J,CVCL_7935,253J_14_2019,C4912,Bladder carcinoma,NA,NA,NA,NA,NA,NA,Bladder/Urinary Tract
17,253J-BV,253J-BV,CVCL_7937,253JBV_15_2019,C4912,Bladder carcinoma,NA,NA,NA,NA,NA,NA,Bladder/Urinary Tract
18,380,380,NA,NA,C9140,Childhood B acute lymphoblastic leukemia,NA,NA,NA,NA,B-Lymphoblastic Leukemia/Lymphoma (BLL),B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
19,42-MG-BA,42-MG-BA,CVCL_1798,42MGBA_16_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
20,451Lu,451Lu,CVCL_6357,451Lu_17_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
21,537-mel,537-mel,CVCL_8052,537MEL_19_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
22,5637,5637,CVCL_0126,5637_20_2019,C4912,Bladder carcinoma,NA,NA,NA,NA,NA,NA,Bladder/Urinary Tract
23,59M,59M,CVCL_2291,59M_21_2019,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
24,600MPE,600MPE,CVCL_9875,600MPE_22_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
25,624-mel,624-mel,CVCL_8054,624mel_23_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
26,639V,639V,CVCL_1048,639V_24_2019,C4912,Bladder carcinoma,NA,NA,NA,NA,NA,NA,Bladder/Urinary Tract
27,647V,647V,CVCL_1049,647V_25_2019,C4912,Bladder carcinoma,NA,NA,NA,NA,NA,NA,Bladder/Urinary Tract
28,697,697,CVCL_0079,697_26_2019,C80347,B acute lymphoblastic leukemia with t(1 p13.3) E2A-PBX1 (TCF3-PBX1),NA,NA,NA,NA,NA,NA,NA
29,769-P,769-P,CVCL_1050,769P_27_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
30,786-O,786-O,CVCL_1051,7860_28_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
31,8-MG-BA,8-MG-BA,CVCL_1052,8MGBA_29_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
32,8305C,8305C,CVCL_1053,8305C_30_2019,C3878,Thyroid gland undifferentiated (anaplastic) carcinoma,NA,NA,NA,NA,Anaplastic Thyroid Cancer,Thyroid Cancer,Thyroid
33,8505C,8505C,CVCL_1054,8505C_31_2019,C3878,Thyroid gland undifferentiated (anaplastic) carcinoma,NA,NA,NA,NA,Anaplastic Thyroid Cancer,Thyroid Cancer,Thyroid
34,888-mel,888-mel,CVCL_4632,888mel_32_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
35,A-1207,A-1207,CVCL_8481,A1207_35_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
36,A-172,A-172,CVCL_0131,A172_36_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
37,A-204,A-204,CVCL_1058,A204_37_2019,C8971,Embryonal rhabdomyosarcoma,NA,NA,NA,NA,Embryonal Rhabdomyosarcoma,Soft Tissue Sarcoma,Soft Tissue
38,A-253,A-253,CVCL_1060,A253_39_2019,C7991,Salivary gland squamous cell carcinoma,NA,NA,NA,NA,"Salivary Carcinoma, Other (OSACA)",Salivary Gland Cancer,Head and Neck
39,A-375,A-375,CVCL_0132,A375_42_2019,C3802,Amelanotic melanoma,NA,NA,NA,NA,Melanoma (MEL),Melanoma,Skin
40,A-388,A-388,CVCL_1063,A388_43_2019,C2929,Squamous cell carcinoma,NA,NA,NA,NA,NA,NA,NA
41,A-427,A-427,CVCL_1055,A427_45_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
42,A-431,A-431,CVCL_0037,A431_46_2019,C4052,Vulvar squamous cell carcinoma,NA,NA,NA,NA,Squamous Cell Carcinoma of the Vulva/Vagina (VSC),Vaginal Cancer,Vulva/Vagina
43,A-498,A-498,CVCL_1056,A498_47_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
44,A-549,A-549,CVCL_0023,A549_48_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
45,A-673,A-673,CVCL_0080,A673_49_2019,C4817,Ewing sarcoma,NA,NA,NA,NA,Ewing Sarcoma,Bone Cancer,Bone
46,A-704,A-704,CVCL_1065,A704_50_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
47,A101D,A101D,CVCL_1057,A101D_34_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
48,A2058,A2058,CVCL_1059,A2058_38_2019,C3802,Amelanotic melanoma,NA,NA,NA,NA,Melanoma (MEL),Melanoma,Skin
49,A2780,A2780,CVCL_0134,A2780_40_2019,C7979,Ovarian endometrioid adenocarcinoma,NA,NA,NA,NA,Endometrioid Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
50,A3/Kawakami,A3/Kawakami,CVCL_1062,A2780_40_2019,C8851,Diffuse large B-cell lymphoma,NA,NA,NA,NA,"Diffuse Large B-Cell Lymphoma, NOS (DLBCLNOS)",Mature B-Cell Neoplasms,Lymphoid
51,A4/Fukuda,A4/Fukuda,CVCL_1064,A4Fuk_44_2019,C8644,B acute lymphoblastic leukemia,NA,NA,NA,NA,"B-Lymphoblastic Leukemia/Lymphoma, NOS (BLLNOS)",B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
52,A7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,ABC-1,ABC-1,CVCL_1066,ABC1_51_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
54,ACC-MESO-1,ACC-MESO-1,CVCL_5113,ACCMESO1_52_2019,C45662,Pleural epithelioid mesothelioma,NA,NA,NA,NA,"Pleural Mesothelioma, Epithelioid Type (PLEMESO)",Mesothelioma,Pleura
55,ACCS,ACCS,CVCL_6876,ACCS_53_2019,C4912,Bladder carcinoma,NA,NA,NA,NA,NA,NA,Bladder/Urinary Tract
56,ACHN,ACHN,CVCL_1067,ACHN_54_2019,C6975,Papillary renal cell carcinoma,NA,NA,NA,NA,Papillary Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
57,ACN,ACN,CVCL_1068,ACN_55_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
58,AGS,AGS,CVCL_0139,AGS_56_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
59,ALL-PO,ALL-PO,CVCL_1069,ALLPO_58_2019,C9140,Childhood B acute lymphoblastic leukemia,C80342,B acute lymphoblastic leukemia with t(v,11q23) KMT2A rearranged,NA,B-Lymphoblastic Leukemia/Lymphoma (BLL),B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
60,ALL-SIL,ALL-SIL,CVCL_1805,ALLSIL_59_2019,C7953,Childhood T acute lymphoblastic leukemia,NA,NA,NA,NA,Early T-Cell Precursor Lymphoblastic Leukemia (ETPLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
61,AM-38,AM-38,CVCL_1070,AM38_60_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
