"","Run","Age","Assay.Type","AssemblyName","AvgSpotLen","Bases","Biomaterial_provider","BioProject","BioSample","BioSampleModel","Bytes","Cell_Line","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","disease","disease_stage","Ethnicity","Experiment","Instrument","isolate","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","Sample.Name","sample_type","sex","SRA.Study","tissue"
"187","SRR8615222",NA,"RNA-Seq","GCA_000001405.13",202,16971434000,"GNF","PRJNA523380","SAMN10988301","Human",8513264356,"TE-15","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (squamous_cell_carcinoma)","primary","Asian","SRX5414531","Illumina HiSeq 2500","cell line","RNASeq-TE15_OESOPHAGUS","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","TE15_OESOPHAGUS","cell culture","female","SRP186687","oesophagus"
"188","SRR8615223",NA,"RNA-Seq","GCA_000001405.13",202,17348945134,NA,"PRJNA523380","SAMN10989616","Human",9345709222,"OCIMY5","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,"SRX5414530","Illumina HiSeq 2500","cell line","RNASeq-OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell culture",NA,"SRP186687","haematopoietic_and_lymphoid_tissue"
"189","SRR8615224",NA,"RNA-Seq","GCA_000001405.13",202,17142079964,NA,"PRJNA523380","SAMN10989617","Human",9255135797,"OCI-MY7","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,"SRX5414529","Illumina HiSeq 2500","cell line","RNASeq-OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell culture",NA,"SRP186687","haematopoietic_and_lymphoid_tissue"
"190","SRR8615225",38,"RNA-Seq","GCA_000001405.13",202,16879950018,"NIBRI","PRJNA523380","SAMN10987922","Human",8469592715,"OCUM-1","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (diffuse_adenocarcinoma)","primary","Asian","SRX5414528","Illumina HiSeq 2500","cell line","RNASeq-OCUM1_STOMACH","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","OCUM1_STOMACH","cell culture","female","SRP186687","stomach"
"191","SRR8615226",72,"RNA-Seq","GCA_000001405.13",202,18687851634,"HPACC","PRJNA523380","SAMN10988362","Human",9880139166,"OE19","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (adenocarcinoma)","primary","Caucasian","SRX5414527","Illumina HiSeq 2500","cell line","RNASeq-OE19_OESOPHAGUS","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","OE19_OESOPHAGUS","cell culture","male","SRP186687","oesophagus"
"192","SRR8615227",74,"RNA-Seq","GCA_000001405.13",202,19905236752,"HPACC","PRJNA523380","SAMN10989579","Human",10506160474,"OE21","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (squamous_cell_carcinoma)","primary","Caucasian","SRX5414526","Illumina HiSeq 2500","cell line","RNASeq-OE21_OESOPHAGUS","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","OE21_OESOPHAGUS","cell culture","male","SRP186687","oesophagus"
"193","SRR8615228",73,"RNA-Seq","GCA_000001405.13",202,19152015920,"HPACC","PRJNA523380","SAMN10987775","Human",9623553754,"OE33","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","other (metaplasia)","primary","Caucasian","SRX5414525","Illumina HiSeq 2500","cell line","RNASeq-OE33_OESOPHAGUS","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","OE33_OESOPHAGUS","cell culture","female","SRP186687","oesophagus"
"194","SRR8615229",NA,"RNA-Seq","GCA_000001405.13",202,17238188938,NA,"PRJNA523380","SAMN10988391","Human",9208697171,"OELE","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","other (immortalized_epithelial)",NA,"Caucasian","SRX5414524","Illumina HiSeq 2500","cell line","RNASeq-OELE_OVARY","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","OELE_OVARY","cell culture",NA,"SRP186687","ovary"
"195","SRR8615230",60,"RNA-Seq","GCA_000001405.13",202,23191527484,"DSMZ:ONCO-DG-1","PRJNA523380","SAMN10988512","Human",12185589821,"ONCO-DG-1","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","carcinoma (adenocarcinoma)","metastasis","Caucasian","SRX5414523","Illumina HiSeq 2500","cell line","RNASeq-ONCODG1_OVARY","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","ONCODG1_OVARY","cell culture","female","SRP186687","ovary"
"196","SRR8615231",56,"RNA-Seq","GCA_000001405.13",202,12270092868,"ATCC:MES-SA","PRJNA523380","SAMN10987906","Human",5874936339,"MES-SA","BROAD INSTITUTE","public","bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","sarcoma","primary","Caucasian","SRX5414522","Illumina HiSeq 2500","cell line","RNASeq-MESSA_SOFT_TISSUE","PAIRED","cDNA","TRANSCRIPTOMIC","Homo sapiens","ILLUMINA","2019-03-27T00:00:00Z","MESSA_SOFT_TISSUE","cell culture","female","SRP186687","soft_tissue"
