"","X","filename","dir","alias","center_name","accession","broker_name","Cell_line","Tissue_supergroup","Metastatic_Tissue","Primary_Tissue","Tissue_Diagnosis","Age","Age_Unit","Gender","Ethnicity","Growth_Media","Freeze_Media","ENA.CHECKLIST","cellid","batchid"
"EGAN00001187748","EGAN00001187748.sample.xml","EGAN00001187748.sample.xml","EGAD00001000725","587721","GENENTECH","ERS395189","EGA","888","Skin",NA,"Skin","Melanoma",NA,NA,NA,NA,"#N/A","#N/A","ERC000026","888-mel",NA
"EGAN00001187749","EGAN00001187749.sample.xml","EGAN00001187749.sample.xml","EGAD00001000725","636792","GENENTECH","ERS395190","EGA","105KC","Sarcomatiod",NA,"Cartilage","Chondrosarcoma","66","Years","Male",NA,"""40%DMEM, 40%MEM, 10%F-12, 10% FBS, 100nM Hydrocortisone, 100ng/mL Insulin, 25ug/ml L-Ascorbic Acid""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","105KC",NA
"EGAN00001187750","EGAN00001187750.sample.xml","EGAN00001187750.sample.xml","EGAD00001000725","636117","GENENTECH","ERS395191","EGA","143B","Sarcomatiod",NA,"Bone","Osteosarcoma","13","Years","Female","Caucasian","""RPMI-1640 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","143B",NA
"EGAN00001187751","EGAN00001187751.sample.xml","EGAN00001187751.sample.xml","EGAD00001000725","587011","GENENTECH","ERS395192","EGA","23132/87","Stomach",NA,"Stomach","Adenocarcinoma","72","Years","Male",NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","23132-87",NA
"EGAN00001187752","EGAN00001187752.sample.xml","EGAN00001187752.sample.xml","EGAD00001000725","587714","GENENTECH","ERS395193","EGA","501A","Skin",NA,"Skin","Melanoma",NA,NA,NA,NA,"""RPMI-1640, 10% FBS, 2mM L-Glutamine""","90% FBS; 10% DMSO","ERC000026","501A",NA
"EGAN00001187753","EGAN00001187753.sample.xml","EGAN00001187753.sample.xml","EGAD00001000725","587715","GENENTECH","ERS395194","EGA","537 MEL","Skin",NA,"Skin","Melanoma",NA,NA,NA,NA,"""DMEM, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","537 MEL",NA
"EGAN00001187754","EGAN00001187754.sample.xml","EGAN00001187754.sample.xml","EGAD00001000725","587665","GENENTECH","ERS395195","EGA","59M","Ovary",NA,"Ovary","Carcinoma",NA,NA,"Female",NA,"""DMEM, 10% FBS, 2mM Gln, 1mM NaP, 20IU/L Bovine Insulin""","90% FBS; 10% DMSO","ERC000026","59M",NA
"EGAN00001187755","EGAN00001187755.sample.xml","EGAN00001187755.sample.xml","EGAD00001000725","587720","GENENTECH","ERS395196","EGA","624 mel","Skin",NA,"Skin","Melanoma",NA,NA,NA,NA,"""DMEM, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","624 mel",NA
"EGAN00001187756","EGAN00001187756.sample.xml","EGAN00001187756.sample.xml","EGAD00001000725","636056","GENENTECH","ERS395197","EGA","769-P","Kidney",NA,"Kidney","Adenocarcinoma","63","Years","Female","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","769-P",NA
"EGAN00001187757","EGAN00001187757.sample.xml","EGAN00001187757.sample.xml","EGAD00001000725","636057","GENENTECH","ERS395198","EGA","786-O","Kidney",NA,"Kidney","Adenocarcinoma","58","Years","Male","Caucasian","""RPMI-1640, 10% FBS, 2mM L-Glutamine""","""Complete growth medium, 90%; DMSO, 10%""","ERC000026","786-0",NA
