,BHKLAB.DRUGID,SMILES,INCHIKEY,PUBCHEM CID,DATABASE ID,MOLECULE_NAME,TARGET_NAME,DATABASE
1,0173570-0000,CCn1c(=O)c(C)cc2cnc(Nc3ccccc3)nc12,NA,NA,NA,NA,NA,NA
2,0175029-0000,CCN(CC)CCOc1ccc(Nc2ncc3ccc(=O)n(c4ccccc4)c3n2)cc1,NA,NA,NA,NA,NA,NA
3,0179445-0000,O=c1ccc2cnc(NCCCN3CCCCC3)nc2n1C4CCCCC4,NA,NA,NA,NA,NA,NA
4,0198306-0000,Cc1cc(I)ccc1Nc2c(F)c(F)c(F)cc2C(=O)NOCC3CC3,NA,NA,NA,NA,NA,NA
5,0225151-0000,Cc1ccc2cc(NC(=O)c3cccc(SCc4cc(Nc5ccccc5)[nH]n4)c3)ccc2n1,NA,NA,NA,NA,NA,NA
6,0297417-0002B,Cc1cc(=O)n(C2CCCC2)c3nc(Nc4ccc(cc4)N5CCNC(C)(C)C5)ncc13,ZOCHARZZJNPSEU-UHFFFAOYSA-N,6328200,NA,NA,NA,NA
7,0316684-0000,OCCONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,NA,NA,NA,NA,NA,NA
8,10-DEBC,CCN(CC)CCCCN1C2=CC=CC=C2OC3=C1C=C(C=C3)Cl,GYBXAGDWMCJZJK-UHFFFAOYSA-N,10521421,NA,10-DEBC,PIM1,CLUE.IO
9,10-Oxooctadecanoic acid,CCCCCCCCC(=O)CCCCCCCCC(=O)O,BGKROBBCCGUUCF-UHFFFAOYSA-N,361941,NA,NA,NA,NA
10,10-Undecenoic acid,C=CCCCCCCCCC(=O)O,FRPZMMHWLSIFAZ-UHFFFAOYSA-N,5634,NA,NA,NA,NA
11,"1,1,10,10-Tetramethoxycyclooctadecane",COC1(CCCCCCCCC(CCCCCCCC1)(OC)OC)OC,ANUXZHKUXMFHJH-UHFFFAOYSA-N,380899,NA,NA,NA,NA
12,"1,1,1-Triethoxybutane",CCCC(OCC)(OCC)OCC,KOPMZTKUZCNGFY-UHFFFAOYSA-N,371779,NA,NA,NA,NA
13,"1,1,2,2-Cyclopropanetetracarboxylic acid",C1C(C1(C(=O)O)C(=O)O)(C(=O)O)C(=O)O,FGQOVSPPSXYIBT-UHFFFAOYSA-N,380819,NA,NA,NA,NA
14,"1,1-Cyclopropanedicarboxylic acid",C1CC1(C(=O)O)C(=O)O,FDKLLWKMYAMLIF-UHFFFAOYSA-N,69017,NA,NA,NA,NA
15,"1,1-Diethylphospholanium bromide",CC[P+]1(CCCC1)CC.[Br-],WBYKPCDVWDLZME-UHFFFAOYSA-M,357583,NA,NA,NA,NA
16,11-Methyltetraphene,CC1=CC=CC2=CC3=C(C=C12)C4=CC=CC=C4C=C3,ARHCZXQENFEAFA-UHFFFAOYSA-N,22488,NA,NA,NA,NA
17,"12,13-EODE",CCCCCC1OC1C/C=C\CCCCCCCC(=O)O,CCPPLLJZDQAOHD-DHZHZOJOSA-N,5283014,NA,NA,NA,NA
18,"12,20-Cycloormosanine",C1CCN2CC34CC(C2C1)CC5C3N(CCC5)C6CCCC4N6,MRLGBUWOAFGOBH-UHFFFAOYSA-N,281253,NA,NA,NA,NA
19,"1,2,2,3,3-Pentacyanocyclopropanecarboxamide",C(#N)C1(C(C1(C#N)C(=O)N)(C#N)C#N)C#N,HNSXQFFRUCIHGN-UHFFFAOYSA-N,394323,NA,NA,NA,NA
20,"1,2,3,4,5,6-Cyclohexanehexol",C1(C(C(C(C(C1O)O)O)O)O)O,CDAISMWEOUEBRE-UHFFFAOYSA-N,892,NA,NA,NA,NA
21,"1,2,3,4-CYCLOBUTANETETRACARBOXYLIC ACID",C1(C(C(C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,CURBACXRQKTCKZ-UHFFFAOYSA-N,266034,NA,NA,NA,NA
22,"1,2,3-Propanetricarboxylic acid",C(C(CC(=O)O)C(=O)O)C(=O)O,KQTIIICEAUMSDG-UHFFFAOYSA-N,14925,NA,NA,NA,NA
23,"1,2,3-Propanetriyl tributanoate",CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,UYXTWWCETRIEDR-UHFFFAOYSA-N,6050,NA,NA,NA,NA
24,"1,2,3-Tribenzylguanidine",C1=CC=C(C=C1)CNC(=NCC2=CC=CC=C2)NCC3=CC=CC=C3,CRQXNVPOHIITIU-UHFFFAOYSA-N,33144,NA,NA,NA,NA
25,"1,2,4-Trithiolane 1-oxide",C1SCS(=O)S1,HBKXTGFWWYWFAQ-UHFFFAOYSA-N,360182,NA,NA,NA,NA
26,"1,2,4-Trithiolane, 4-oxide",C1SSCS1=O,KZEBDBHBXISRMG-UHFFFAOYSA-N,360183,NA,NA,NA,NA
27,"1,2,5-Triphenylphospholane 1-oxide",C1CC(P(=O)(C1C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,YSMZAYVFDLZNBM-UHFFFAOYSA-N,380783,NA,NA,NA,NA
28,"1,2-Benzenediamine",C1=CC=C(C(=C1)N)N,GEYOCULIXLDCMW-UHFFFAOYSA-N,7243,NA,NA,NA,NA
29,"1,2-Benzenedithiol",C1=CC=C(C(=C1)S)S,JRNVQLOKVMWBFR-UHFFFAOYSA-N,69370,NA,NA,NA,NA
30,12-Methyloctadecanoic acid,CCCCCCC(C)CCCCCCCCCCC(=O)O,MEBDGIUGSQZVMA-UHFFFAOYSA-N,361942,NA,NA,NA,NA
31,"1,3,3,5-Pentanetetracarbonitrile",C(CC(CCC#N)(C#N)C#N)C#N,SOUBRVXEOBMUKO-UHFFFAOYSA-N,283406,NA,NA,NA,NA
32,"1,3,5,7-Cubanetetracarboxylic acid",C12C3(C4C1(C5C2(C3C45C(=O)O)C(=O)O)C(=O)O)C(=O)O,QGYMAFGVNUKBCO-UHFFFAOYSA-N,392842,NA,NA,NA,NA
33,"1,3,6,9-Tetrathiacycloundecane",C1CSCCSCSCCS1,ZWFLCAAQEDJCPS-UHFFFAOYSA-N,373837,NA,NA,NA,NA
34,"13-Pentacosanol, dihydrogen phosphate",CCCCCCCCCCCCC(CCCCCCCCCCCC)OP(=O)(O)O,XTIFCHVMYQHMGD-UHFFFAOYSA-N,361964,NA,NA,NA,NA
35,"1,3-Propanediol, dimethanesulfonate",CS(=O)(=O)OCCCOS(=O)(=O)C,MAIFZJHANFOZHK-UHFFFAOYSA-N,27532,NA,NA,NA,NA
36,"1,4,5,8-Naphthalenetetracarboxylic acid",C1=CC(=C2C(=CC=C(C2=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,OLAPPGSPBNVTRF-UHFFFAOYSA-N,31422,NA,NA,NA,NA
37,"1,4,7,10,13-Pentathiacyclopentadecane",C1CSCCSCCSCCSCCS1,JZVKYARMSUTTSV-UHFFFAOYSA-N,373838,NA,NA,NA,NA
38,"1,4,7,10-Tetraazacyclododecane",C1CNCCNCCNCCN1,QBPPRVHXOZRESW-UHFFFAOYSA-N,64963,NA,NA,NA,NA
39,"1,4,7,10-Tetrathiacyclotridecane",C1CSCCSCCSCCSC1,FFRMQLCUFQSYIA-UHFFFAOYSA-N,373836,NA,NA,NA,NA
40,"1,4,7-Trithionane",C1CSCCSCCS1,PQNPKQVPJAHPSB-UHFFFAOYSA-N,373835,NA,NA,NA,NA
41,"1,4,7-Trithionane 1,4,7-trioxide",C1CS(=O)CCS(=O)CCS1=O,YRHVZGNGLNMHOJ-UHFFFAOYSA-N,373823,NA,NA,NA,NA
42,"1,4,8,11,15,18,22,25-Octathiacyclooctacosane",C1CSCCSCCCSCCSCCCSCCSCCCSCCSC1,HSGWKRSFKMUJQH-UHFFFAOYSA-N,373842,NA,NA,NA,NA
43,"1,4,8,12-Tetrathiacyclopentadecane",C1CSCCCSCCSCCCSC1,MKHVDPYGWBRAKU-UHFFFAOYSA-N,373843,NA,NA,NA,NA
44,"1,4,9,10-Anthracenetetrone",C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=O)C=CC3=O,KNCZUXHSQJQWIB-UHFFFAOYSA-N,137169,NA,NA,NA,NA
45,"1,4-Benzenedipropanoic acid, dimethyl ester",COC(=O)CCC1=CC=C(C=C1)CCC(=O)OC,YBPCZDKFGFYLAU-UHFFFAOYSA-N,382780,NA,NA,NA,NA
46,"1,4-chrysenequinone",O=C1C=CC(=O)c2c1ccc3c2ccc4ccccc43,UORKIKBNUWJNJF-UHFFFAOYSA-N,180933,NA,NA,NA,NA
47,"1,4-Cubanedicarboxamide",C12C3C4C1(C5C2C3(C45)C(=O)N)C(=O)N,NWHUFDQYQYJTDD-UHFFFAOYSA-N,369224,NA,NA,NA,NA
48,"1,4-Dihexopyranosylpiperazine",C1CN(CCN1C2C(C(C(C(O2)CO)O)O)O)C3C(C(C(C(O3)CO)O)O)O,AAHLQODCOIMLFS-UHFFFAOYSA-N,254138,NA,NA,NA,NA
49,"1,4-Naphthalenediyl diacetate",CC(=O)OC1=CC=C(C2=CC=CC=C21)OC(=O)C,SFAVMNCWIUOBCX-UHFFFAOYSA-N,79775,NA,NA,NA,NA
50,"1,4-Piperazinedicarbothiohydrazide",C1CN(CCN1C(=S)NN)C(=S)NN,GISXBSSCHFURCK-UHFFFAOYSA-N,3001885,NA,NA,NA,NA
51,"1,5,2,4-Dioxadithiecane 2,2,4,4-tetraoxide",C1CCOS(=O)(=O)CS(=O)(=O)OCC1,VWRZUKFQNHZBOK-UHFFFAOYSA-N,340938,NA,NA,NA,NA
52,"1,5,2,4-Dioxadithiepane, 2,2,4,4-tetraoxide",C1COS(=O)(=O)CS(=O)(=O)O1,RYIRMSRYCSMGJA-UHFFFAOYSA-N,57513,NA,NA,NA,NA
53,"1,5,2,4-Dioxadithiocane 2,2,4,4-tetraoxide",C1COS(=O)(=O)CS(=O)(=O)OC1,APPZESCOGKWYIH-UHFFFAOYSA-N,150523,NA,NA,NA,NA
54,"1,5,9,13,17,21,25,29-Octathiacyclodotriacontane",C1CSCCCSCCCSCCCSCCCSCCCSCCCSCCCSC1,PJRFYBCTXBQSTP-UHFFFAOYSA-N,373844,NA,NA,NA,NA
55,"1,5,9,13,17-Pentathiacycloeicosane",C1CSCCCSCCCSCCCSCCCSC1,IHZRZROGHCHTMN-UHFFFAOYSA-N,373845,NA,NA,NA,NA
56,15-delta prostaglandin J2,CCCCC/C=C/C=C/1\[C@@H](C/C=C\CCCC(=O)O)C=CC1=O,NA,NA,NA,NA,NA,NA
57,"1,5-isoquinolinediol",Oc1cccc2c(O)nccc12,LFUJIPVWTMGYDG-UHFFFAOYSA-N,1340,NA,NA,NA,NA
58,"1,6,11,16-Tetrathiacycloicosane",C1CCSCCCCSCCCCSCCCCSC1,ORSVEXHROYPMJO-UHFFFAOYSA-N,373839,NA,NA,NA,NA
59,"16,16-dimethylprostaglandin E2",CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,QAOBBBBDJSWHMU-BKSAQPBESA-N,6434251,NA,"16,16-dimethylprostaglandin-e2",HPGD,CLUE.IO
60,16-beta-bromoandrosterone,NA,NA,NA,NA,NA,NA,NA
61,16-Hydroxyoctadecanoic acid,CCC(CCCCCCCCCCCCCCC(=O)O)O,IZAIPALZJVSRHT-UHFFFAOYSA-N,361943,NA,NA,NA,NA
62,"1,6-Phenazinediol, 5,10-dioxide",NA,NBMOVCYIGUDQJE-UHFFFAOYSA-N,NA,NA,NA,NA,NA
63,16-phenyltetranorprostaglandin E2,OC(Cc1ccccc1)C=CC2C(O)CC(=O)C2CC=CCCCC(=O)O,NA,NA,NA,NA,NA,NA
64,"18-Pentatriacontanol, dihydrogen phosphate",CCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCC)OP(=O)(O)O,OCQQHAPIBNSOPF-UHFFFAOYSA-N,361965,NA,NA,NA,NA
65,"1,9-Pyrazoloanthrone",C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,ACPOUJIDANTYHO-UHFFFAOYSA-N,8515,NA,NA,NA,NA
66,1-Aminocyclopentanecarboxylic acid,C1CCC(C1)(C(=O)O)N,NILQLFBWTXNUOE-UHFFFAOYSA-N,2901,NA,NA,NA,NA
67,"1-Aziridinepropanoic acid, methyl ester, 1-oxide",COC(=O)CC[N+]1(CC1)[O-],ZEIPIKINEYKTEB-UHFFFAOYSA-N,379580,NA,NA,NA,NA
68,1-Hexadecylpyridinium chloride,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],YMKDRGPMQRFJGP-UHFFFAOYSA-M,22114567,NA,NA,NA,NA
69,1H-Pyrazole,C1=CNN=C1,WTKZEGDFNFYCGP-UHFFFAOYSA-N,1048,NA,NA,NA,NA
70,1-Hydroxycyclododecanecarbonitrile,C1CCCCCC(CCCCC1)(C#N)O,YFTBTHFVKKQJBS-UHFFFAOYSA-N,380691,NA,NA,NA,NA
71,1-Palmitoylprolylglycylphenylalanylalanylseryltyrosyllysylleucylarginylprolylglycinamide,CCCCCCCCCCCCCCCC(=O)N1CCCC1C(=O)NCC(=O)NC(CC2=CC=CC=C2)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)N4CCCC4C(=O)NCC(=O)N,FSDTVYGKLANONT-UHFFFAOYSA-N,24205861,NA,NA,NA,NA
72,1-Palmitoylprolylglycylphenylalanylprolylseryltyrosyllysylleucylarginylprolylglycinamide,CCCCCCCCCCCCCCCC(=O)N1CCCC1C(=O)NCC(=O)NC(CC2=CC=CC=C2)C(=O)N3CCCC3C(=O)NC(CO)C(=O)NC(CC4=CC=C(C=C4)O)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)N5CCCC5C(=O)NCC(=O)N,QREASIAFPQXMBI-UHFFFAOYSA-N,24205858,NA,NA,NA,NA
73,1-Phenylbiguanide,NC(=N)NC(=N)Nc1ccccc1,CUQCMXFWIMOWRP-UHFFFAOYSA-N,4780,NA,1-phenylbiguanide,HTR3A,CLUE.IO
