"id","Drug","Synonym"
"1","1-Naphthyl isothiocyanate","1-Naphthyl isothiocyanate"
"2","1-Naphthyl isothiocyanate","551-06-4"
"3","1-Naphthyl isothiocyanate","1-Naphthylisothiocyanate"
"4","1-Naphthyl isothiocyanate","1-ISOTHIOCYANATONAPHTHALENE"
"5","1-Naphthyl isothiocyanate","ANIT"
"6","1-Naphthyl isothiocyanate","Kesscocide"
"7","1-Naphthyl isothiocyanate","alpha-Naphthyl isothiocyanate"
"8","1-Naphthyl isothiocyanate","Naphthalene, 1-isothiocyanato-"
"9","1-Naphthyl isothiocyanate","Naphthalene, isothiocyanato-"
"10","1-Naphthyl isothiocyanate","Isothiocyanic acid, 1-naphthyl ester"
"11","1-Naphthyl isothiocyanate","1-Naftylisothiokyanat"
"12","1-Naphthyl isothiocyanate","Isothiocyanic Acid 1-Naphthyl Ester"
"13","1-Naphthyl isothiocyanate","alpha-Naphthysothiocyanate"
"14","1-Naphthyl isothiocyanate","1-Isothiocyanate-naphthalene"
"15","1-Naphthyl isothiocyanate","NSC 89741"
"16","1-Naphthyl isothiocyanate","UNII-HG44814A3V"
"17","1-Naphthyl isothiocyanate","1-Naftylisothiokyanat [Czech]"
"18","1-Naphthyl isothiocyanate","CCRIS 4678"
"19","1-Naphthyl isothiocyanate","CHEBI:35455"
"20","1-Naphthyl isothiocyanate","alpha-naphylisothiocyanate"
"21","1-Naphthyl isothiocyanate","EINECS 208-990-8"
"22","1-Naphthyl isothiocyanate","1-Isothiocyanatenaphthalene"
"23","1-Naphthyl isothiocyanate","alpha-Naphthylisothiocyanate"
"24","1-Naphthyl isothiocyanate",".alpha.-Naphthysothiocyanate"
"25","1-Naphthyl isothiocyanate","1-isothiocyanato-naphthalene"
"26","1-Naphthyl isothiocyanate","BRN 0637868"
"27","1-Naphthyl isothiocyanate","AI3-28260"
"28","1-Naphthyl isothiocyanate",".alpha.-Naphthyl isothiocyanate"
"29","1-Naphthyl isothiocyanate","ANI"
"30","1-Naphthyl isothiocyanate","JBDOSUUXMYMWQH-UHFFFAOYSA-N"
"31","1-Naphthyl isothiocyanate","HG44814A3V"
"32","1-Naphthyl isothiocyanate","naphthalenisothiocyanate"
"33","1-Naphthyl isothiocyanate","1-Naphthyl isothiocyanate, 98%"
"34","1-Naphthyl isothiocyanate","Isothiocyanatonaphthalene"
"35","1-Naphthyl isothiocyanate","EINECS 249-976-1"
"36","1-Naphthyl isothiocyanate","MFCD00003882"
"37","1-Naphthyl isothiocyanate","1-naphtylisothiocyanate"
"38","1-Naphthyl isothiocyanate","a-naphthylisothiocyanate"
"39","1-Naphthyl isothiocyanate","a-naphthyl isothiocyanate"
"40","1-Naphthyl isothiocyanate","DSSTox_CID_5703"
"41","1-Naphthyl isothiocyanate","(1-naphthyl)isothiocyanate"
"42","1-Naphthyl isothiocyanate","1-naphthyl-iso-thiocyanate"
"43","1-Naphthyl isothiocyanate","1-naphthalenylisothiocyanate"
"44","1-Naphthyl isothiocyanate","WLN: L66J BNCS"
"45","1-Naphthyl isothiocyanate","1-Naphthalene isothiocyanate"
"46","1-Naphthyl isothiocyanate","DSSTox_RID_77886"
"47","1-Naphthyl isothiocyanate","DSSTox_GSID_25703"
"48","1-Naphthyl isothiocyanate","29962-76-3"
"49","1-Naphthyl isothiocyanate","4-12-00-03094 (Beilstein Handbook Reference)"
"50","1-Naphthyl isothiocyanate",".alpha.-Naphthylisothiocyanate"
"51","1-Naphthyl isothiocyanate","SCHEMBL419795"
"52","1-Naphthyl isothiocyanate","ACMC-1B133"
"53","1-Naphthyl isothiocyanate","CHEMBL1381098"
"54","1-Naphthyl isothiocyanate","DTXSID8025703"
"55","1-Naphthyl isothiocyanate","1-Naphthyl isothiocyanate, 95%"
"56","1-Naphthyl isothiocyanate","CTK3I9892"
"57","1-Naphthyl isothiocyanate","ZINC164198"
"58","1-Naphthyl isothiocyanate","KS-000010PH"
"59","1-Naphthyl isothiocyanate","NSC89741"
"60","1-Naphthyl isothiocyanate","Tox21_200329"
"61","1-Naphthyl isothiocyanate","5478AE"
"62","1-Naphthyl isothiocyanate","ANW-32243"
"63","1-Naphthyl isothiocyanate","BBL012567"
"64","1-Naphthyl isothiocyanate","BDBM50237618"
"65","1-Naphthyl isothiocyanate","NSC-89741"
"66","1-Naphthyl isothiocyanate","SBB069535"
"67","1-Naphthyl isothiocyanate","STK300021"
"68","1-Naphthyl isothiocyanate","AKOS000212299"
"69","1-Naphthyl isothiocyanate","LS-1359"
"70","1-Naphthyl isothiocyanate","MCULE-2765006563"
"71","1-Naphthyl isothiocyanate","RTR-019445"
"72","1-Naphthyl isothiocyanate","TRA0021656"
"73","1-Naphthyl isothiocyanate","VZ21591"
"74","1-Naphthyl isothiocyanate","NCGC00091213-01"
"75","1-Naphthyl isothiocyanate","NCGC00091213-02"
"76","1-Naphthyl isothiocyanate","NCGC00091213-03"
"77","1-Naphthyl isothiocyanate","NCGC00257883-01"
"78","1-Naphthyl isothiocyanate","BP-11139"
"79","1-Naphthyl isothiocyanate","CAS-551-06-4"
"80","1-Naphthyl isothiocyanate","SC-76935"
"81","1-Naphthyl isothiocyanate","VS-03391"
"82","1-Naphthyl isothiocyanate","DB-019293"
"83","1-Naphthyl isothiocyanate","TR-019445"
"84","1-Naphthyl isothiocyanate","FT-0632371"
"85","1-Naphthyl isothiocyanate","I0190"
"86","1-Naphthyl isothiocyanate","ST45061571"
"87","1-Naphthyl isothiocyanate","A830490"
"88","1-Naphthyl isothiocyanate","J-200035"
"89","1-Naphthyl isothiocyanate","Q4545797"
"90","1-Naphthyl isothiocyanate","W-203079"
"91","1-Naphthyl isothiocyanate","1-Naphthyl isothiocyanate, for HPLC derivatization, >=98.5% (HPLC and GC)"
"92","Phenylbutazone","phenylbutazone"
"93","Phenylbutazone","50-33-9"
"94","Phenylbutazone","4-Butyl-1,2-diphenylpyrazolidine-3,5-dione"
"95","Phenylbutazone","Butazolidine"
