,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,GDSC_rnaseq.cellid,CCLE_exome.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid,FIMM.cellid,FIMM.tissueid,Cellosaurus.Accession.id,PharmacoDB.id,GDSC_Exome.cellid,unique.tissueid.fromstudies,Cellosaurus.Disease.Type,CellLine.Type,Metastatic,DepMap.cellid
1,22Rv1,22RV1,22Rv1,22RV1,NA,NA,NA,NA,22RV1,22Rv1,22Rv1,22Rv1,22RV1,NA,22RV1,22Rv1,22RV1,prostate,prostate,prostate,NA,NA,NA,NA,prostate,prostate,urogenital_system,NA,NA,prostate,Prostate,prostate,NA,prostate,22RV1,prostate,NA,NA,CVCL_1045,22RV1_12_2019,22RV1,prostate,Prostate carcinoma,Cancer cell line,NA,ACH-000956
2,23132/87,23132-87,23132/87,NA,NA,NA,23132/87,NA,23132-87,NA,23132_87,23132_87,23132-87,NA,2313287,23132-87///23132/87,23132-87,stomach,stomach,NA,NA,NA,NA,NA,Stomach,stomach,digestive_system,NA,NA,stomach,Esophagus/Stomach,stomach,Stomach,stomach,NA,NA,NA,NA,CVCL_1046,2313287_13_2019,23132-87,stomach,Gastric adenocarcinoma,Cancer cell line,NA,ACH-000948
3,380,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Childhood B acute lymphoblastic leukemia,NA,NA,NA
4,5637,5637,5637,5637,NA,NA,NA,5637,5637,NA,5637,5637,5637,NA,5637,NA,5637,urinary_tract,urinary_tract,bladder,NA,NA,NA,URINARY_TRACT,Bladder,urinary_tract,NA,NA,NA,urinary_tract,Bladder/Urinary Tract,urinary_tract,NA,urinary_tract,5637,urinary_tract,NA,NA,CVCL_0126,5637_20_2019,5637,urinary_tract,Bladder carcinoma,Cancer cell line,NA,ACH-000905
5,639V,639-V,639-V,639V,NA,NA,NA,NA,639-V,NA,639-V,639-V,639-V,NA,639V,NA,639-V,urinary_tract,urinary_tract,bladder,NA,NA,NA,NA,Bladder,urinary_tract,urogenital_system,NA,NA,urinary_tract,Bladder/Urinary Tract,urinary_tract,NA,urinary_tract,NA,NA,NA,NA,CVCL_1048,639V_24_2019,639-V,urinary_tract,Bladder carcinoma,Cancer cell line,NA,ACH-000973
6,647V,647-V,647-V,647V,NA,NA,NA,NA,647-V,NA,647-V,647-V,647-V,NA,647V,NA,647-V,urinary_tract,urinary_tract,bladder,NA,NA,NA,NA,Bladder,urinary_tract,urogenital_system,NA,NA,urinary_tract,Bladder/Urinary Tract,urinary_tract,NA,urinary_tract,647V,urinary_tract,NA,NA,CVCL_1049,647V_25_2019,647-V,urinary_tract,Bladder carcinoma,Cancer cell line,NA,ACH-000896
7,697,697,697,NA,NA,NA,NA,NA,697,NA,697,697,697,NA,697,NA,697,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_0079,697_26_2019,697,haematopoietic_and_lymphoid_tissue,B acute lymphoblastic leukemia with t(1 p13.3) E2A-PBX1 (TCF3-PBX1),Cancer cell line,NA,ACH-000070
8,769-P,769-P,769-P,769P,NA,NA,769-P,NA,769-P,NA,769-P,769-P,769-P,NA,769P,769-P,769-P,kidney,kidney,kidney,NA,NA,Kidney,NA,Kidney,kidney,kidney,NA,NA,kidney,Kidney,kidney,Kidney,kidney,769P,kidney,NA,NA,CVCL_1050,769P_27_2019,769-P,kidney,Renal cell carcinoma,Cancer cell line,NA,ACH-000411
9,786-O,786-0,786-O,786O,RE:786_0,NA,786-O,NA,786-o,NA,786-O,786-O,786-0,NA,786O,786-O,786-0,kidney,kidney,kidney,RE,NA,Kidney,NA,Kidney,kidney,NA,NA,NA,kidney,Kidney,kidney,Kidney,kidney,786O,kidney,NA,NA,CVCL_1051,7860_28_2019,786-0,kidney,Renal cell carcinoma,Cancer cell line,NA,ACH-000649
10,8305C,8305C,8305C,NA,NA,NA,NA,NA,8305C,NA,8305C,8305C,8305C,NA,8305C,8305C,8305C,thyroid,thyroid,NA,NA,NA,NA,NA,Thyroid,thyroid,thyroid,NA,NA,thyroid,Thyroid,thyroid,Thyroid,thyroid,NA,NA,NA,NA,CVCL_1053,8305C_30_2019,8305C,thyroid,Thyroid gland undifferentiated (anaplastic) carcinoma,Cancer cell line,NA,ACH-001306
